timestamp,value
2025-07-30 10:50:25.865444,-0.015
2025-07-30 10:50:32.233681,-0.029
2025-07-30 10:50:34.672959,0.091
2025-07-30 10:50:36.412731,0.135
2025-07-30 10:50:38.536437,0.195
2025-07-30 10:50:40.542232,0.241
2025-07-30 10:50:44.115756,0.309
2025-07-30 10:50:48.338569,0.267
2025-07-30 10:50:50.824234,0.236
2025-07-30 10:50:53.087668,0.187
